Accuracy,F1,Precision,Recall
0.9737,0.9774,0.9848,0.9701
0.9561,0.9664,0.9351,1.0
0.9386,0.9489,0.9559,0.942
0.9386,0.953,0.9467,0.9595
0.9474,0.9615,0.9868,0.9375
0.9649,0.9706,0.9429,1.0
0.9561,0.958,0.9344,0.9828
0.9825,0.9867,0.9737,1.0
0.9561,0.964,0.9437,0.9853
0.9386,0.9548,0.9136,1.0
0.9649,0.9733,0.9733,0.9733
0.9825,0.987,0.9744,1.0
0.9298,0.9412,0.9143,0.9697
0.9035,0.9272,0.9589,0.8974
0.9298,0.9459,0.9333,0.9589
0.9211,0.9404,0.9342,0.9467
0.9737,0.9796,0.973,0.9863
0.9649,0.9737,0.9737,0.9737
0.9474,0.9559,0.9286,0.9848
0.9386,0.9504,0.9306,0.971
0.9737,0.9778,0.9565,1.0
0.9649,0.9733,0.9733,0.9733
0.9386,0.951,0.9444,0.9577
0.9649,0.9733,0.9733,0.9733
0.9474,0.9589,0.9589,0.9589
0.9298,0.9467,0.9467,0.9467
0.9737,0.9796,0.9863,0.973
0.9474,0.9571,0.9437,0.971
0.9386,0.9517,0.9583,0.9452
0.9386,0.9542,0.9359,0.9733
0.9561,0.965,0.9452,0.9857
0.9298,0.942,0.9155,0.9701
0.9386,0.9504,0.9437,0.9571
0.9474,0.9583,0.9452,0.9718
0.9561,0.9673,0.961,0.9737
0.9649,0.9726,0.9726,0.9726
0.9737,0.9801,0.9737,0.9867
0.9386,0.9524,0.9589,0.9459
0.9825,0.9872,0.9872,0.9872
0.9737,0.9793,0.9726,0.9861
0.9474,0.9595,0.9726,0.9467
0.9825,0.9863,1.0,0.973
0.9649,0.9722,0.9589,0.9859
0.9912,0.9934,0.9868,1.0
0.9649,0.9733,0.9733,0.9733
0.9474,0.9589,0.9459,0.9722
0.9474,0.9565,0.9706,0.9429
0.9474,0.9571,0.9571,0.9571
0.9298,0.942,0.9286,0.9559
0.9211,0.9396,0.9211,0.9589
0.9386,0.953,0.9595,0.9467
0.9386,0.9554,0.9259,0.9868
0.9737,0.9799,0.9865,0.9733
0.9825,0.988,1.0,0.9762
0.9912,0.9934,1.0,0.9868
0.9474,0.9524,0.9836,0.9231
0.9649,0.9701,0.9848,0.9559
0.9912,0.9922,1.0,0.9846
0.9912,0.9925,1.0,0.9851
0.9649,0.9688,0.9688,0.9688
0.9649,0.973,0.973,0.973
0.9561,0.964,0.9437,0.9853
0.9474,0.9571,0.9571,0.9571
0.9474,0.9531,0.9531,0.9531
0.9737,0.9804,0.974,0.9868
0.9649,0.9706,0.9851,0.9565
0.9561,0.9664,0.9474,0.9863
0.9737,0.9806,0.962,1.0
0.9561,0.965,0.9583,0.9718
0.9386,0.9421,0.9344,0.95
0.9649,0.9718,0.9718,0.9718
0.9825,0.9865,0.9865,0.9865
0.9649,0.9722,0.9589,0.9859
0.9737,0.9781,0.971,0.9853
0.9298,0.9467,0.9467,0.9467
0.9825,0.9868,0.974,1.0
0.9737,0.979,0.9589,1.0
0.9298,0.9474,0.9351,0.96
0.9474,0.9571,0.9437,0.971
0.9649,0.9733,0.9733,0.9733
0.9386,0.9517,0.92,0.9857
0.9211,0.9362,0.8919,0.9851
0.9649,0.974,0.9615,0.9868
0.9561,0.9635,0.9429,0.9851
0.9649,0.9733,0.9865,0.9605
0.9386,0.951,0.9315,0.9714
0.9649,0.9733,0.9605,0.9865
0.9737,0.9806,0.962,1.0
0.9649,0.973,0.9863,0.96
0.9561,0.964,0.9306,1.0
0.9737,0.9787,0.9718,0.9857
0.9649,0.9706,0.9429,1.0
0.9561,0.9682,0.962,0.9744
0.9561,0.964,0.971,0.9571
0.9737,0.9793,0.9861,0.9726
0.9474,0.96,0.9231,1.0
0.9561,0.9624,0.9275,1.0
0.9474,0.9552,0.9552,0.9552
0.9561,0.9655,0.9589,0.9722
0.9561,0.9682,0.9383,1.0
