Accuracy,F1,Precision,Recall
0.9962,0.992,0.9904,0.9936
0.9938,0.9865,0.9898,0.9832
0.9977,0.9955,1.0,0.991
0.9923,0.9848,0.9939,0.9759
0.9923,0.9847,0.9938,0.9758
0.9923,0.9833,0.9966,0.9704
0.9985,0.9971,0.9971,0.9971
0.9962,0.9922,0.9937,0.9906
0.9954,0.9911,0.9882,0.9941
0.9946,0.988,0.9965,0.9795
0.9923,0.9842,0.9936,0.9749
0.9946,0.99,1.0,0.9801
0.9954,0.9897,0.9965,0.9829
0.9938,0.9873,0.9904,0.9841
0.9923,0.9848,0.9878,0.9818
0.9969,0.9935,0.9967,0.9902
0.9908,0.9808,0.9968,0.9654
0.9962,0.9921,0.9968,0.9873
0.9954,0.9907,0.9969,0.9846
0.9946,0.9888,0.9936,0.9841
0.9938,0.9874,0.9968,0.9782
0.9938,0.9881,1.0,0.9764
0.9946,0.9888,0.9904,0.9873
0.9962,0.9922,1.0,0.9846
0.9908,0.9811,0.9968,0.9659
0.9946,0.9891,0.9907,0.9876
0.9931,0.9862,0.9938,0.9787
0.9954,0.9901,0.9967,0.9836
0.9915,0.9829,0.9844,0.9814
0.9969,0.9934,0.9967,0.9901
0.9946,0.9886,0.9935,0.9838
0.9962,0.9914,0.9965,0.9863
0.9962,0.992,1.0,0.9841
0.9954,0.9907,0.9969,0.9845
0.9954,0.9903,0.9935,0.9871
0.9931,0.9859,1.0,0.9721
0.9969,0.9939,1.0,0.9878
0.9969,0.9939,0.9969,0.9908
0.9931,0.9851,0.9933,0.977
0.9938,0.9861,0.9965,0.9759
0.9946,0.989,0.9968,0.9812
0.9915,0.9827,0.9937,0.972
0.9931,0.9867,0.997,0.9765
0.9954,0.9905,0.9968,0.9842
0.9977,0.9953,0.9969,0.9938
0.9931,0.9867,0.994,0.9794
0.9946,0.9887,1.0,0.9777
0.9938,0.9882,0.997,0.9795
0.9938,0.9875,0.9968,0.9783
0.9915,0.9834,0.9969,0.9702
0.9954,0.9902,0.9934,0.987
0.9938,0.9866,1.0,0.9735
0.9969,0.9937,1.0,0.9874
0.9946,0.989,0.9937,0.9844
0.9977,0.9953,0.9969,0.9938
0.9969,0.9939,0.9939,0.9939
0.9923,0.9826,0.993,0.9724
0.9962,0.9924,1.0,0.985
0.9969,0.9942,0.9913,0.9971
0.9908,0.9799,0.9932,0.967
0.9923,0.9829,1.0,0.9663
0.9915,0.9832,0.9908,0.9758
0.9946,0.9889,0.9905,0.9873
0.9915,0.9828,0.9937,0.9721
0.9938,0.9881,1.0,0.9764
0.9954,0.991,1.0,0.9821
0.9946,0.9892,0.9938,0.9846
0.9938,0.9876,0.9907,0.9845
0.9931,0.9855,0.9967,0.9745
0.9923,0.9849,0.9909,0.979
0.9954,0.9898,0.9898,0.9898
0.9954,0.9909,0.9939,0.9879
0.9938,0.9875,0.9906,0.9844
0.9915,0.9832,0.9938,0.9728
0.9962,0.9923,0.9939,0.9908
0.9969,0.9937,1.0,0.9874
0.9985,0.997,0.997,0.997
0.9931,0.986,0.9969,0.9754
0.9931,0.9863,0.9938,0.9788
0.9946,0.9886,1.0,0.9775
0.9938,0.9878,0.9939,0.9818
0.9915,0.9822,0.987,0.9775
0.9954,0.9909,0.997,0.985
0.9923,0.9851,0.994,0.9764
0.9931,0.9857,1.0,0.9719
0.9969,0.994,0.997,0.991
0.9985,0.9968,0.9968,0.9968
0.9946,0.9898,0.9971,0.9826
0.9962,0.9917,0.9934,0.9901
0.9962,0.9922,0.9937,0.9906
0.9938,0.9873,0.9968,0.978
0.9962,0.9927,0.9941,0.9912
0.9931,0.9852,0.9901,0.9803
0.9923,0.9841,0.9968,0.9717
0.9962,0.9924,0.997,0.9879
0.9931,0.9863,0.9939,0.9789
0.9938,0.9876,0.9938,0.9815
0.9969,0.994,0.994,0.994
0.9946,0.9887,1.0,0.9776
0.9946,0.9886,0.9967,0.9806
